Invoice_ID,Distributor_ID,Priority,Invoice_Amount_LKR,Submission_Timestamp,Stage1_Approver,Stage1_Wait_min,Stage1_Service_min,Stage1_Outcome,Stage2_Approver,Stage2_Wait_min,Stage2_Service_min,Final_Status,Total_Turnaround_min,Is_Month_End_Period
INV-00032,DIST-010,Normal,213051.97,2026-06-01 15:53:03,Reviewer-B,0.0,5.8,Proceed,Manager-X,0.0,8.32,Approved,14.12,False
INV-00033,DIST-004,Normal,570918.45,2026-06-01 16:25:48,Reviewer-C,0.0,1.85,Proceed,Manager-Y,0.0,9.85,Approved,11.7,False
INV-00034,DIST-002,Normal,12871.56,2026-06-01 16:57:33,Reviewer-A,0.0,4.97,Proceed,Manager-X,0.0,7.33,Approved,12.3,False
INV-00035,DIST-006,High,749330.23,2026-06-01 16:59:15,Reviewer-B,0.0,2.21,Proceed,Manager-Y,0.0,14.49,Approved,16.7,False
INV-00036,DIST-011,Normal,451954.89,2026-06-02 08:52:19,Reviewer-A,0.0,4.85,Returned,,,,Returned to Distributor,4.85,False
INV-00037,DIST-003,High,228473.7,2026-06-02 08:53:38,Reviewer-B,0.0,6.51,Proceed,Manager-X,0.0,2.67,Approved,9.18,False
INV-00038,DIST-011,Normal,540931.08,2026-06-02 08:58:40,Reviewer-C,0.0,4.02,Returned,,,,Returned to Distributor,4.02,False
INV-00039,DIST-002,Normal,540970.36,2026-06-02 09:21:08,Reviewer-A,0.0,0.27,Proceed,Manager-Y,0.0,1.33,Rejected,1.6,False
INV-00040,DIST-008,Normal,471169.96,2026-06-02 09:23:15,Reviewer-B,0.0,0.06,Proceed,Manager-X,0.0,20.39,Approved,20.45,False
INV-00041,DIST-006,Normal,497220.58,2026-06-02 09:32:43,Reviewer-C,0.0,0.82,Proceed,Manager-Y,0.0,21.78,Approved,22.6,False
INV-00042,DIST-006,Normal,182514.67,2026-06-02 09:56:22,Reviewer-A,0.0,0.65,Proceed,Manager-X,0.0,20.48,Approved,21.13,False
INV-00043,DIST-003,Normal,787270.43,2026-06-02 10:08:00,Reviewer-B,0.0,1.06,Proceed,Manager-Y,0.0,1.85,Approved,2.92,False
INV-00044,DIST-006,Normal,666116.59,2026-06-02 10:10:22,Reviewer-C,0.0,6.65,Proceed,Manager-Y,0.0,2.71,Approved,9.36,False
INV-00045,DIST-007,High,741980.93,2026-06-02 10:24:52,Reviewer-A,0.0,1.21,Proceed,Manager-X,0.0,4.98,Approved,6.19,False
INV-00046,DIST-004,Normal,193370.4,2026-06-02 10:43:54,Reviewer-B,0.0,3.05,Proceed,Manager-Y,0.0,0.68,Approved,3.73,False
INV-00047,DIST-009,High,342728.23,2026-06-02 10:49:06,Reviewer-C,0.0,3.69,Returned,,,,Returned to Distributor,3.69,False
INV-00048,DIST-005,High,155889.8,2026-06-02 10:50:34,Reviewer-A,0.0,1.48,Proceed,Manager-X,0.0,4.6,Approved,6.08,False
INV-00049,DIST-010,Normal,836679.29,2026-06-02 10:55:05,Reviewer-B,0.0,13.79,Proceed,Manager-Y,0.0,0.43,Approved,14.22,False
INV-00050,DIST-009,High,585394.29,2026-06-02 11:03:53,Reviewer-A,0.0,6.41,Proceed,Manager-X,0.0,4.56,Rejected,10.97,False
INV-00051,DIST-010,Normal,270258.72,2026-06-02 11:34:19,Reviewer-C,0.0,7.63,Proceed,Manager-Y,0.0,3.52,Approved,11.15,False
INV-00052,DIST-005,Normal,473478.54,2026-06-02 11:40:29,Reviewer-B,0.0,6.56,Proceed,Manager-X,0.0,13.1,Approved,19.66,False
INV-00053,DIST-007,Normal,468006.95,2026-06-02 11:50:36,Reviewer-A,0.0,2.03,Proceed,Manager-Y,0.0,8.24,Approved,10.27,False
INV-00054,DIST-008,Normal,575905.01,2026-06-02 11:58:06,Reviewer-C,0.0,9.47,Returned,,,,Returned to Distributor,9.47,False
INV-00055,DIST-011,Normal,76652.23,2026-06-02 12:14:05,Reviewer-B,0.0,6.01,Proceed,Manager-X,0.0,16.21,Approved,22.22,False
INV-00056,DIST-004,Normal,686545.65,2026-06-02 12:27:29,Reviewer-A,0.0,0.28,Returned,,,,Returned to Distributor,0.28,False
INV-00057,DIST-002,High,389826.66,2026-06-02 12:38:49,Reviewer-C,0.0,4.11,Proceed,Manager-Y,0.0,3.91,Approved,8.03,False
INV-00058,DIST-012,Normal,9685.37,2026-06-02 12:40:44,Reviewer-B,0.0,8.82,Proceed,Manager-X,0.0,5.26,Approved,14.08,False
INV-00059,DIST-009,Normal,397544.65,2026-06-02 13:18:46,Reviewer-A,0.0,14.97,Proceed,Manager-Y,0.0,1.36,Approved,16.33,False
INV-00060,DIST-009,High,508157.21,2026-06-02 13:27:52,Reviewer-C,0.0,10.66,Proceed,Manager-X,0.0,10.26,Approved,20.92,False
INV-00061,DIST-009,Normal,381797.0,2026-06-02 13:49:10,Reviewer-B,0.0,11.86,Proceed,Manager-Y,0.0,13.24,Approved,25.1,False
INV-00062,DIST-009,Normal,414484.48,2026-06-02 13:53:04,Reviewer-A,0.0,3.48,Proceed,Manager-X,0.0,2.54,Approved,6.02,False
INV-00063,DIST-002,Normal,121926.08,2026-06-02 14:19:53,Reviewer-C,0.0,7.1,Proceed,Manager-X,0.0,0.63,Approved,7.73,False
INV-00064,DIST-007,Normal,57614.53,2026-06-02 14:29:16,Reviewer-A,0.0,2.96,Proceed,Manager-Y,0.0,27.74,Approved,30.7,False
INV-00065,DIST-010,Normal,326421.97,2026-06-02 14:54:47,Reviewer-B,0.0,2.6,Proceed,Manager-X,0.0,18.24,Rejected,20.84,False
INV-00066,DIST-012,Normal,625765.78,2026-06-02 15:01:18,Reviewer-C,0.0,13.69,Proceed,Manager-Y,0.0,3.03,Approved,16.71,False
INV-00067,DIST-011,Normal,578874.89,2026-06-02 15:07:12,Reviewer-A,0.0,1.08,Proceed,Manager-X,7.34,1.3,Approved,9.72,False
INV-00068,DIST-007,Normal,505149.4,2026-06-02 15:07:32,Reviewer-B,0.0,0.53,Proceed,Manager-X,8.86,19.15,Approved,28.54,False
INV-00069,DIST-006,Normal,183852.94,2026-06-02 15:11:09,Reviewer-B,0.0,8.59,Proceed,Manager-Y,0.0,13.25,Approved,21.84,False
INV-00070,DIST-002,Normal,402409.28,2026-06-02 15:14:38,Reviewer-A,0.0,0.32,Returned,,,,Returned to Distributor,0.32,False
INV-00071,DIST-002,Normal,665141.93,2026-06-02 15:17:41,Reviewer-A,0.0,8.42,Returned,,,,Returned to Distributor,8.42,False
INV-00072,DIST-001,Normal,530028.63,2026-06-02 15:20:21,Reviewer-C,0.0,3.85,Proceed,Manager-Y,8.79,28.04,Approved,40.68,False
INV-00073,DIST-006,Normal,146781.83,2026-06-02 15:23:54,Reviewer-B,0.0,8.27,Proceed,Manager-X,3.9,16.25,Rejected,28.42,False
INV-00074,DIST-001,Normal,789909.66,2026-06-02 15:25:17,Reviewer-C,0.0,14.32,Proceed,Manager-X,12.73,26.96,Approved,54.02,False
INV-00075,DIST-011,Normal,210207.73,2026-06-02 15:36:02,Reviewer-A,0.0,2.15,Proceed,Manager-Y,22.84,15.56,Approved,40.55,False
INV-00076,DIST-001,Normal,298387.18,2026-06-02 15:46:03,Reviewer-B,0.0,2.78,Proceed,Manager-Y,27.76,3.97,Approved,34.5,False
INV-00077,DIST-002,Normal,371327.27,2026-06-02 16:06:47,Reviewer-A,0.0,13.33,Proceed,Manager-X,0.0,1.58,Approved,14.91,False
INV-00078,DIST-011,Normal,233219.62,2026-06-02 16:15:38,Reviewer-C,0.0,4.64,Proceed,Manager-Y,0.28,5.43,Approved,10.35,False
INV-00079,DIST-004,Normal,706967.71,2026-06-02 16:19:23,Reviewer-B,0.0,12.8,Proceed,Manager-X,0.0,5.94,Approved,18.74,False
INV-00080,DIST-001,Normal,422689.0,2026-06-02 16:25:06,Reviewer-A,0.0,4.01,Proceed,Manager-Y,0.0,2.84,Approved,6.85,False
INV-00081,DIST-005,Normal,474643.42,2026-06-02 16:35:59,Reviewer-C,0.0,1.27,Proceed,Manager-Y,0.0,4.96,Approved,6.23,False
INV-00082,DIST-008,Normal,550787.95,2026-06-02 16:39:17,Reviewer-A,0.0,9.45,Proceed,Manager-X,0.0,2.38,Approved,11.83,False
INV-00083,DIST-010,Normal,316822.28,2026-06-02 16:43:40,Reviewer-B,0.0,2.53,Returned,,,,Returned to Distributor,2.53,False
INV-00084,DIST-006,Normal,598912.43,2026-06-02 16:53:16,Reviewer-C,0.0,1.74,Proceed,Manager-Y,0.0,2.03,Approved,3.77,False
INV-00085,DIST-003,Normal,166852.12,2026-06-03 08:17:14,Reviewer-A,0.0,1.94,Proceed,Manager-X,0.0,13.57,Approved,15.51,False
INV-00086,DIST-004,Normal,255328.26,2026-06-03 09:04:29,Reviewer-B,0.0,2.16,Proceed,Manager-Y,0.0,1.29,Approved,3.45,False
INV-00087,DIST-005,Normal,594317.7,2026-06-03 09:05:09,Reviewer-C,0.0,12.17,Proceed,Manager-X,0.0,19.58,Approved,31.75,False
INV-00088,DIST-008,High,292896.51,2026-06-03 09:12:46,Reviewer-A,0.0,1.4,Proceed,Manager-Y,0.0,0.98,Approved,2.37,False
INV-00089,DIST-010,Normal,536881.62,2026-06-03 09:20:53,Reviewer-B,0.0,0.97,Proceed,Manager-Y,0.0,3.44,Rejected,4.41,False
INV-00090,DIST-007,Normal,517338.42,2026-06-03 09:22:24,Reviewer-A,0.0,1.53,Proceed,Manager-Y,1.36,5.69,Approved,8.59,False
INV-00091,DIST-007,Normal,263046.31,2026-06-03 09:46:00,Reviewer-C,0.0,5.64,Proceed,Manager-Y,0.0,28.01,Approved,33.66,False
INV-00092,DIST-011,Normal,73603.41,2026-06-03 09:48:51,Reviewer-B,0.0,4.82,Proceed,Manager-X,0.0,4.99,Approved,9.81,False
INV-00093,DIST-001,Normal,200597.42,2026-06-03 09:56:28,Reviewer-A,0.0,7.28,Proceed,Manager-X,0.0,11.05,Approved,18.33,False
INV-00094,DIST-011,Normal,503372.2,2026-06-03 10:15:04,Reviewer-C,0.0,1.32,Proceed,Manager-X,0.0,2.42,Approved,3.74,False
INV-00095,DIST-003,Normal,65341.31,2026-06-03 10:18:46,Reviewer-B,0.0,2.21,Proceed,Manager-X,0.0,8.0,Approved,10.21,False
INV-00096,DIST-012,Normal,261957.06,2026-06-03 10:20:22,Reviewer-A,0.0,1.91,Proceed,Manager-Y,0.0,5.47,Approved,7.38,False
INV-00097,DIST-012,Normal,277361.74,2026-06-03 10:46:47,Reviewer-C,0.0,0.57,Returned,,,,Returned to Distributor,0.57,False
INV-00098,DIST-010,Normal,501118.88,2026-06-03 11:08:29,Reviewer-B,0.0,8.68,Proceed,Manager-Y,0.0,8.16,Approved,16.84,False
INV-00099,DIST-009,High,555525.52,2026-06-03 11:10:48,Reviewer-A,0.0,0.96,Proceed,Manager-X,0.0,8.13,Approved,9.09,False
INV-00100,DIST-006,Normal,350054.14,2026-06-03 11:11:56,Reviewer-C,0.0,0.66,Proceed,Manager-X,7.28,5.04,Approved,12.99,False
INV-00101,DIST-007,Normal,692463.3,2026-06-03 11:24:59,Reviewer-A,0.0,3.64,Proceed,Manager-X,0.0,3.71,Rejected,7.35,False
INV-00102,DIST-009,Normal,702063.49,2026-06-03 11:31:11,Reviewer-C,0.0,12.21,Proceed,Manager-Y,0.0,0.53,Approved,12.74,False
INV-00103,DIST-008,Normal,533470.39,2026-06-03 11:42:53,Reviewer-B,0.0,1.37,Proceed,Manager-X,0.0,24.95,Approved,26.32,False
INV-00104,DIST-002,Normal,29394.68,2026-06-03 11:57:16,Reviewer-A,0.0,9.64,Proceed,Manager-Y,0.0,3.54,Approved,13.17,False
INV-00105,DIST-004,High,843457.28,2026-06-03 12:03:33,Reviewer-C,0.0,2.97,Proceed,Manager-X,2.68,14.41,Approved,20.06,False
INV-00106,DIST-009,Normal,601072.83,2026-06-03 12:18:41,Reviewer-B,0.0,3.95,Proceed,Manager-Y,0.0,5.8,Approved,9.75,False
INV-00107,DIST-010,High,434463.55,2026-06-03 12:21:13,Reviewer-C,0.0,9.58,Proceed,Manager-X,0.0,12.6,Approved,22.18,False
INV-00108,DIST-009,Normal,230760.9,2026-06-03 12:53:53,Reviewer-A,0.0,7.77,Proceed,Manager-Y,0.0,8.24,Approved,16.01,False
INV-00109,DIST-008,Normal,460100.59,2026-06-03 13:17:56,Reviewer-B,0.0,4.82,Proceed,Manager-X,0.0,5.77,Approved,10.59,False
INV-00110,DIST-012,Normal,206790.68,2026-06-03 13:20:27,Reviewer-C,0.0,11.63,Proceed,Manager-Y,0.0,3.64,Approved,15.27,False
INV-00111,DIST-007,Normal,331236.55,2026-06-03 13:49:49,Reviewer-A,0.0,10.31,Returned,,,,Returned to Distributor,10.31,False
INV-00112,DIST-001,High,111678.1,2026-06-03 13:58:01,Reviewer-B,0.0,1.94,Proceed,Manager-X,0.0,15.06,Approved,16.99,False
INV-00113,DIST-001,Normal,615465.03,2026-06-03 14:26:58,Reviewer-C,0.0,6.38,Proceed,Manager-Y,0.0,6.02,Rejected,12.4,False
INV-00114,DIST-012,Normal,340873.41,2026-06-03 14:31:56,Reviewer-B,0.0,2.39,Proceed,Manager-X,0.0,7.25,Rejected,9.64,False
INV-00115,DIST-008,Normal,742163.65,2026-06-03 14:43:45,Reviewer-A,0.0,0.43,Proceed,Manager-Y,0.0,24.11,Rejected,24.53,False
INV-00116,DIST-007,Normal,831695.38,2026-06-03 15:00:14,Reviewer-C,0.0,7.3,Proceed,Manager-X,0.0,1.73,Approved,9.03,False
INV-00117,DIST-006,Normal,677741.23,2026-06-03 15:00:35,Reviewer-B,0.0,2.82,Proceed,Manager-Y,4.88,7.2,Approved,14.89,False
INV-00118,DIST-003,Normal,152933.61,2026-06-03 15:19:28,Reviewer-A,0.0,2.89,Proceed,Manager-X,0.0,6.54,Approved,9.43,False
INV-00119,DIST-011,Normal,219610.85,2026-06-03 15:22:38,Reviewer-B,0.0,0.06,Proceed,Manager-Y,0.0,21.99,Approved,22.05,False
INV-00120,DIST-008,High,803724.11,2026-06-03 15:24:42,Reviewer-C,0.0,1.71,Returned,,,,Returned to Distributor,1.71,False
INV-00121,DIST-008,Normal,719281.82,2026-06-03 15:38:46,Reviewer-A,0.0,2.91,Proceed,Manager-X,0.0,2.57,Approved,5.49,False
INV-00122,DIST-012,High,254469.99,2026-06-03 15:49:02,Reviewer-B,0.0,5.15,Proceed,Manager-X,0.0,6.74,Approved,11.89,False
INV-00123,DIST-001,Normal,774471.33,2026-06-03 16:05:25,Reviewer-C,0.0,10.73,Returned,,,,Returned to Distributor,10.73,False
INV-00124,DIST-004,Normal,517969.92,2026-06-03 16:23:21,Reviewer-A,0.0,6.07,Proceed,Manager-Y,0.0,10.76,Approved,16.83,False
INV-00125,DIST-003,High,535869.65,2026-06-03 16:36:16,Reviewer-B,0.0,4.99,Proceed,Manager-X,0.0,4.69,Approved,9.68,False
INV-00126,DIST-002,Normal,773635.5,2026-06-03 16:52:05,Reviewer-C,0.0,3.22,Proceed,Manager-Y,0.0,14.67,Approved,17.89,False
INV-00127,DIST-009,Normal,776896.49,2026-06-03 16:57:33,Reviewer-A,0.0,1.78,Proceed,Manager-X,0.0,6.25,Approved,8.03,False
INV-00128,DIST-002,Normal,400740.02,2026-06-04 08:04:57,Reviewer-A,0.0,8.42,Proceed,Manager-X,0.0,10.72,Approved,19.13,False
INV-00129,DIST-009,Normal,314079.92,2026-06-04 08:11:02,Reviewer-B,0.0,0.08,Proceed,Manager-Y,0.0,5.76,Approved,5.85,False
INV-00130,DIST-010,Normal,326966.55,2026-06-04 08:24:25,Reviewer-C,0.0,2.79,Proceed,Manager-Y,0.0,6.06,Approved,8.84,False
INV-00131,DIST-006,Normal,778391.24,2026-06-04 08:58:50,Reviewer-B,0.0,0.39,Proceed,Manager-X,0.0,22.81,Approved,23.2,False
INV-00132,DIST-003,Normal,43318.06,2026-06-04 09:05:08,Reviewer-A,0.0,33.02,Proceed,Manager-Y,0.0,2.54,Approved,35.56,False
INV-00133,DIST-006,Normal,571560.85,2026-06-04 09:11:02,Reviewer-C,0.0,17.51,Proceed,Manager-X,0.0,12.88,Approved,30.39,False
INV-00134,DIST-002,Normal,709470.66,2026-06-04 09:17:28,Reviewer-B,0.0,16.79,Proceed,Manager-Y,6.44,11.13,Approved,34.36,False
INV-00135,DIST-004,Normal,727855.41,2026-06-04 09:24:32,Reviewer-C,4.02,6.94,Proceed,Manager-X,5.94,36.19,Approved,53.09,False
INV-00136,DIST-004,High,823134.81,2026-06-04 09:30:37,Reviewer-B,3.63,8.34,Proceed,Manager-Y,9.23,1.93,Approved,23.14,False
INV-00137,DIST-001,Normal,669841.43,2026-06-04 10:13:09,Reviewer-C,0.0,0.81,Proceed,Manager-Y,0.0,0.68,Approved,1.48,False
INV-00138,DIST-004,Normal,692029.77,2026-06-04 10:15:56,Reviewer-A,0.0,8.93,Proceed,Manager-Y,0.0,8.61,Approved,17.54,False
INV-00139,DIST-003,Normal,461482.06,2026-06-04 11:05:34,Reviewer-B,0.0,0.7,Proceed,Manager-X,0.0,1.34,Approved,2.04,False
INV-00140,DIST-010,Normal,278586.89,2026-06-04 11:24:13,Reviewer-C,0.0,0.32,Proceed,Manager-Y,0.0,7.09,Approved,7.42,False
INV-00141,DIST-006,Normal,438686.07,2026-06-04 11:31:58,Reviewer-A,0.0,4.21,Returned,,,,Returned to Distributor,4.21,False
INV-00142,DIST-011,Normal,445626.28,2026-06-04 11:32:30,Reviewer-B,0.0,19.95,Proceed,Manager-X,0.0,6.19,Approved,26.14,False
INV-00143,DIST-008,Normal,606979.11,2026-06-04 11:46:24,Reviewer-C,0.0,13.77,Proceed,Manager-Y,0.0,1.53,Approved,15.3,False
INV-00144,DIST-010,Normal,468361.19,2026-06-04 11:58:09,Reviewer-A,0.0,31.36,Proceed,Manager-X,0.0,5.74,Approved,37.1,False
INV-00145,DIST-012,Normal,101679.89,2026-06-04 11:59:25,Reviewer-B,0.0,12.61,Proceed,Manager-Y,0.0,19.06,Approved,31.67,False
INV-00146,DIST-007,Normal,291397.22,2026-06-04 12:25:41,Reviewer-C,0.0,3.23,Proceed,Manager-Y,2.16,5.29,Approved,10.67,False
INV-00147,DIST-003,Normal,585363.77,2026-06-04 12:31:19,Reviewer-B,0.0,0.57,Proceed,Manager-X,3.37,5.37,Approved,9.31,False
INV-00148,DIST-003,Normal,475133.27,2026-06-04 12:36:55,Reviewer-C,0.0,4.95,Proceed,Manager-Y,0.0,1.24,Approved,6.19,False
INV-00149,DIST-007,Normal,738537.87,2026-06-04 12:50:03,Reviewer-A,0.0,20.73,Proceed,Manager-X,0.0,4.12,Approved,24.84,False
INV-00150,DIST-011,Normal,412450.04,2026-06-04 12:52:55,Reviewer-B,0.0,2.59,Proceed,Manager-Y,0.0,1.16,Approved,3.75,False
INV-00151,DIST-007,High,719156.11,2026-06-04 12:56:00,Reviewer-C,0.0,8.19,Proceed,Manager-Y,0.0,8.31,Approved,16.5,False
INV-00152,DIST-012,Normal,230993.33,2026-06-04 13:27:45,Reviewer-B,0.0,7.28,Proceed,Manager-Y,0.0,3.94,Approved,11.22,False
INV-00153,DIST-010,Normal,560456.22,2026-06-04 13:52:13,Reviewer-C,0.0,8.1,Returned,,,,Returned to Distributor,8.1,False
INV-00154,DIST-009,Normal,186787.28,2026-06-04 13:53:22,Reviewer-A,0.0,2.5,Proceed,Manager-X,0.0,12.15,Approved,14.65,False
INV-00155,DIST-002,Normal,751424.15,2026-06-04 14:03:26,Reviewer-B,0.0,8.43,Proceed,Manager-Y,0.0,0.81,Approved,9.23,False
INV-00156,DIST-010,Normal,378527.34,2026-06-04 14:10:03,Reviewer-A,0.0,8.44,Proceed,Manager-X,0.0,5.34,Approved,13.78,False
INV-00157,DIST-008,Normal,450259.32,2026-06-04 14:23:40,Reviewer-C,0.0,1.49,Returned,,,,Returned to Distributor,1.49,False
INV-00158,DIST-004,Normal,259699.36,2026-06-04 14:24:21,Reviewer-B,0.0,0.89,Proceed,Manager-Y,0.0,3.78,Approved,4.66,False
INV-00159,DIST-003,Normal,114161.92,2026-06-04 14:40:50,Reviewer-A,0.0,1.57,Proceed,Manager-X,0.0,10.48,Approved,12.05,False
INV-00160,DIST-012,Normal,40745.41,2026-06-04 14:46:55,Reviewer-C,0.0,15.24,Proceed,Manager-Y,0.0,8.15,Approved,23.39,False
INV-00161,DIST-007,Normal,249640.35,2026-06-04 15:01:45,Reviewer-B,0.0,20.32,Proceed,Manager-X,0.0,28.02,Approved,48.34,False
INV-00162,DIST-006,Normal,79469.75,2026-06-04 15:15:47,Reviewer-A,0.0,1.67,Proceed,Manager-Y,0.0,7.05,Approved,8.72,False
INV-00163,DIST-006,Normal,192228.39,2026-06-04 15:20:15,Reviewer-C,0.0,0.48,Proceed,Manager-Y,3.79,7.18,Approved,11.45,False
INV-00164,DIST-006,Normal,619635.34,2026-06-04 15:38:12,Reviewer-A,0.0,10.13,Proceed,Manager-Y,0.0,1.5,Approved,11.63,False
INV-00165,DIST-011,High,68673.52,2026-06-04 15:49:17,Reviewer-C,0.0,4.75,Proceed,Manager-Y,0.0,6.7,Approved,11.44,False
INV-00166,DIST-010,High,548328.1,2026-06-04 16:02:59,Reviewer-B,0.0,1.87,Returned,,,,Returned to Distributor,1.87,False
INV-00167,DIST-008,Normal,62701.89,2026-06-04 16:07:33,Reviewer-A,0.0,2.16,Proceed,Manager-X,0.0,0.55,Approved,2.71,False
INV-00168,DIST-008,Normal,36778.12,2026-06-04 16:12:01,Reviewer-C,0.0,2.03,Proceed,Manager-Y,0.0,35.99,Approved,38.02,False
INV-00169,DIST-007,Normal,395991.35,2026-06-04 16:22:50,Reviewer-B,0.0,9.42,Returned,,,,Returned to Distributor,9.42,False
INV-00170,DIST-010,Normal,555802.65,2026-06-04 16:30:00,Reviewer-A,0.0,3.87,Proceed,Manager-X,0.0,0.61,Approved,4.48,False
INV-00171,DIST-006,Normal,835115.82,2026-06-04 16:57:32,Reviewer-C,0.0,6.23,Proceed,Manager-X,0.0,11.68,Rejected,17.92,False
INV-00172,DIST-006,Normal,320059.92,2026-06-05 08:11:17,Reviewer-A,0.0,3.15,Proceed,Manager-X,0.0,8.65,Approved,11.81,False
INV-00173,DIST-002,Normal,283588.69,2026-06-05 08:23:47,Reviewer-B,0.0,2.93,Proceed,Manager-Y,0.0,18.12,Rejected,21.05,False
INV-00174,DIST-003,Normal,286690.92,2026-06-05 08:34:52,Reviewer-C,0.0,0.91,Proceed,Manager-X,0.0,32.61,Approved,33.52,False
